year,month,value
2023,4,53.6
2023,5,54.9
2023,6,54.4
2023,7,52.3
2023,8,50.5
2023,9,50.1
2023,10,50.6
2023,11,50.8
2023,12,51.4
2024,1,52.5
2024,2,52.3
2024,3,51.7
2024,4,51.3
2024,5,54.8
2024,6,55.3
2024,7,55.0
2024,8,55.7
2024,9,55.2
2024,10,55.0
2024,11,56.1
2024,12,56.8
2025,1,52.9
2025,2,51.0
2025,3,54.4
2025,4,50.8
2025,5,53.7
2025,6,52.9
2025,7,55.7
2025,8,54.5
2025,9,54.2
2025,10,54.8
2025,11,54.1
2025,12,52.5
2026,1,52.7
2026,2,51.7
2026,3,49.8
2026,4,49.8
